OBJECTID,STOP_ID,LAST_UPDATE_DATE,GeometryEasting,GeometryNorthing
167,20000341,2026-06-18,834039,812143
168,20000342,2026-06-18,835217,811886
169,20000343,2026-06-18,835112,811773
170,20000347,2026-06-18,831015,814864
171,20000348,2026-09-10,830903,814758
172,20000349,2026-09-11,830807,814702
173,20000352,2026-09-11,843141,814285
174,20000356,2026-06-18,833420,811552
175,20000358,2026-06-18,833383,811638
176,20000359,2026-06-18,833474,811723
177,20000360,2026-06-18,833562,811706
178,20000361,2026-09-11,834458,812090
179,20000362,2026-06-18,832363,812598
180,20000363,2026-06-18,832110,812794
181,20000367,2026-06-18,832110,813540
182,20000368,2026-06-18,832217,813088
183,20000369,2026-07-15,833276,812329
184,20000370,2026-09-11,833349,812288
185,20000378,2026-06-18,838605,817037
186,20000380,2026-06-18,840802,815757
187,20000383,2026-06-18,840819,815607
188,20000394,2026-09-10,842371,813702
189,20000396,2026-06-18,842220,813933
190,20000398,2026-09-10,842032,814798
191,20000409,2026-06-18,835553,820159
192,20000411,2026-09-10,836008,817359
193,20000418,2026-06-18,837712,818467
194,20000420,2026-06-18,837218,818702
195,20000433,2026-09-11,835785,821013
196,20000440,2026-09-10,837381,820070
197,20000443,2026-06-18,837318,818702
198,20000444,2026-06-18,837430,818558
199,20000446,2026-09-10,835365,817951
200,20000453,2026-06-18,835132,820056
201,20000454,2026-06-18,834683,820383
202,20000458,2026-06-18,835484,819441
203,20000462,2026-06-18,835440,818500
204,20000465,2026-06-18,836353,820091
205,20000466,2026-06-18,836302,820001
206,20000467,2026-07-25,836172,819908
207,20000468,2026-07-25,836066,820058
208,20000469,2026-09-10,835928,820107
209,20000470,2026-06-18,835696,820062
210,20000472,2026-07-25,836206,819916
211,20000473,2026-06-18,836261,820043
212,20000475,2026-09-11,836877,818331
213,20000476,2026-06-18,836126,818266
214,20000478,2026-06-18,835816,818253
215,20000479,2026-06-18,835550,818231
216,20000482,2026-06-18,835614,818255
217,20000483,2026-06-18,835804,818268
218,20000484,2026-06-18,836151,818281
219,20000489,2026-06-18,837848,819805
220,20000490,2026-06-18,837670,819782
221,20000506,2026-06-18,837503,819628
222,20000508,2026-06-18,837856,819968
223,20000519,2026-06-18,835408,821399
224,20000540,2026-06-18,835260,822000
225,20000541,2026-06-18,835679,821379
226,20000544,2026-06-18,835628,820075
227,20000546,2026-06-18,835497,820628
228,20000547,2026-09-11,835786,820340
229,20000550,2026-09-10,837316,821040
230,20000551,2026-06-18,837566,819664
231,20000553,2026-06-18,837383,819013
232,20000554,2026-06-18,837406,818574
233,20000556,2026-06-18,837325,818743
234,20000557,2026-06-18,837365,818912
235,20000558,2026-06-18,837368,819182
236,20000561,2026-09-11,837271,822170
237,20000563,2026-06-18,837308,821207
238,20000566,2026-06-18,840174,821603
239,20000568,2026-09-10,840200,821633
240,20000580,2026-09-10,838083,822810
241,20000581,2026-06-18,838223,823011
242,20000582,2026-09-10,838141,823362
243,20000583,2026-09-09,838227,823105
244,20000584,2026-06-18,838239,822992
245,20000585,2026-09-10,838078,822795
